Latitude,Longitude,Lower2s,Median,Upper2s,ProxyType,Species
1.4,-33.5,-3.76146186483545,-2.44917671096208,-1.13260757856524,delo,ruber
1.4,-33.5,-6.9466708064834,-5.49930442020517,-4.02010404148313,mg,ruber
1.4,146.2,-1.59081343051236,-0.181380868709009,1.15633989026094,delo,ruber
1.9,67.3,-1.29482042212328,0.0173305158306114,1.44220311068857,delo,ruber
1.9,67.3,-4.282235473729,-2.95772324370231,-1.48636131260213,mg,ruber
2,3.6,-7.62522504461168,-6.09240448847586,-4.7879596535306,delo,sacculifer
2.3,-30.6,-3.99745102808847,-2.62624894609816,-1.16635712422048,delo,sacculifer
2.5,9.4,-4.75728262896124,-3.47678906826837,-2.06795715858205,delo,ruber
2.5,9.4,-3.02584760095013,-1.54946631622789,-0.277796151715599,mg,ruber
3.2,50.4,-4.23864930989908,-2.41256953860843,-0.660265543128542,uk,
3.5,96.3,-4.05293671622933,-2.70736634160692,-1.2781288450124,delo,ruber
3.5,96.3,-4.64567083617154,-3.3547963624244,-1.97807332541566,mg,ruber
3.5,141.9,-0.719457929909572,0.865605722660565,2.90766748924383,uk,
3.6,118.7,-4.82645067367382,-3.43827215649305,-2.04015591899056,delo,ruber
3.6,118.7,-4.47394607383276,-3.03601578030207,-1.61266559387415,mg,ruber
3.7,-11.4,-8.17396655079464,-4.66120568260382,-2.73374764887402,uk,
3.8,-41.6,-6.363049908119,-5.00189808931552,-3.55664541605698,delo,sacculifer
4.2,-43.7,-6.14797224696275,-4.7128766095964,-3.28928284956695,delo,sacculifer
4.7,-78,-6.05604064088804,-3.50116414203062,-1.81585029066358,uk,
4.8,4.5,-5.15665019966792,-3.72941251361018,-2.32558497252402,delo,ruber
4.8,4.5,-5.80781892363451,-4.49933381110426,-3.17663067913735,mg,ruber
5.1,73.9,-4.00613887567816,-2.61970687863873,-1.18790051764221,delo,ruber
5.3,-34,-5.23161086215206,-3.8469461844604,-2.46683013944835,delo,sacculifer
5.3,-22.1,-4.66500577034393,-3.20510624725609,-1.85932389587149,delo,sacculifer
5.4,-21.7,-4.72913418679527,-3.24605574330828,-1.8358678343607,delo,sacculifer
5.4,60.3,0.272902280198792,1.60693394209737,2.87049699371859,delo,ruber
5.4,60.3,-1.83770968014232,-0.520968681666476,0.872819214981739,mg,ruber
6.2,-86,-10.1729381537189,-8.74604727963887,-7.19336878466423,tex,
6.2,112.2,-3.47513466836365,-2.08702902621213,-0.67894473892602,delo,ruber
6.2,112.2,-4.80125895473481,-2.93352877767127,-1.04119791818088,uk,
6.3,125.8,-4.84242018600013,-3.36721574141653,-2.00758019969978,delo,ruber
6.3,125.8,-4.7750235271342,-3.30359066302803,-1.88724397271237,mg,ruber
6.5,125.8,-5.29644329806891,-3.89925521347381,-2.60310702611792,delo,ruber
6.5,125.8,-4.11551313172613,-2.58203273358817,-0.754345112650457,uk,
6.6,113.4,-2.49009767360752,-1.09653133416961,0.34305536765439,delo,ruber
6.6,113.4,-4.3071322780867,-2.91848152202068,-1.48302017382813,mg,ruber
6.7,61.1,-3.71997904096893,-2.29260222150062,-0.83340177043625,delo,ruber
7.5,76.7,-3.81647494871149,-2.26673708084073,-0.832137833741202,uk,
7.9,-83.6,-4.66074501340983,-3.16026672703572,-1.7272875396428,delo,ruber
7.9,-83.6,-4.11603986595007,-2.69921209738138,-1.29573118953476,mg,ruber
7.9,-83.6,-3.80846696856833,-2.21174412158268,-0.718702686077025,uk,
8.2,-84.1,-5.17243992539567,-3.85145188381317,-2.41787298168614,delo,ruber
8.2,-84.1,-3.98795157921404,-2.5113746406897,-1.14638925204801,mg,ruber
8.2,-84.1,-4.303894789493,-2.07534050074624,-0.460939192927034,uk,
8.5,112.3,-4.08828297284947,-2.56014068174568,-1.0217598061712,uk,
8.7,109.9,-3.43494753504637,-1.98143253896556,-0.626561828389187,delo,sacculifer
8.7,109.9,-4.71213509896833,-3.2288264333775,-1.92839001795799,tex,
8.7,109.9,-5.35185972453,-2.94586495183986,-1.19265310572394,uk,
8.8,121.3,-1.28772462697218,0.119594305651166,1.56587034167375,delo,ruber
9.1,-85.6,-3.86165661152602,-2.35030114495403,-0.656262216462151,uk,
9.6,-19.1,-6.41543180970596,-2.88939397257603,-1.02747468906302,uk,
10.2,95.1,-6.20968146693184,-4.81047373849025,-3.25735890364165,delo,ruber
10.2,95.1,-3.5540000980563,-2.08141935519371,0.599442196146271,uk,
10.5,57.7,-1.68070339807802,-0.258052680854096,1.17062656256665,delo,ruber
10.5,57.7,-3.27519240637753,-1.95119011036449,-0.678384070012211,mg,ruber
10.5,75.2,-3.96521312373389,-1.75361556875431,-0.190191212666942,uk,
10.7,-65.9,-3.05907879059016,-1.71783409285122,-0.283615038187625,delo,bulloides
10.7,-65.9,-5.81561469834295,-4.43379582445161,-2.98281998027021,delo,ruber
10.7,-65.9,-4.37480243028725,-3.06971260780305,-1.67587584461375,mg,ruber
10.8,51.9,-3.66114453825832,-2.26035613538015,-0.847800460191175,tex,
10.8,51.9,-2.45902189744461,-0.918216206852717,0.638114834108533,uk,
10.8,52,-2.77632532747852,-1.35553762206678,0.122912467951387,delo,bulloides
10.8,52,-4.39545871301834,-2.97548421877476,-1.52538393169796,delo,ruber
10.9,115.3,-2.43446386067763,-1.03525844226575,0.340041022922257,delo,ruber
10.9,115.3,-0.61090810884294,0.79493219394767,2.14132536178806,mg,ruber
11,75,-5.30558201203912,-3.82129513869674,-2.42232227620352,delo,ruber
11,75,-4.07002963748189,-2.66272162825388,-1.35442265069119,mg,ruber
11.3,-66.6,-7.88730899410695,-6.51804786826039,-5.09834350216545,delo,ruber
11.3,-66.6,-5.16270659285191,-3.71266796240925,-2.3066117765456,mg,ruber
11.5,74.4,-4.89264745457733,-2.43741344027633,-0.638766742095498,uk,
11.7,-79.6,-4.53658480780082,-3.12909582527687,-1.70579089790214,mg,sacculifer
11.7,94.5,-7.14697613511248,-5.80013720356624,-4.35130352035122,delo,sacculifer
11.7,94.5,-2.46828792402593,-1.14799594497653,0.23356169266601,mg,sacculifer
11.8,94.2,-5.05053006478206,-3.66448405971367,-2.25705480692743,delo,ruber
11.9,-78.7,-4.54882673838856,-3.06623032620247,-1.7365052140929,delo,ruber
11.9,-78.7,-2.71675222432336,-1.27721710949301,0.333856893614129,mg,ruber
12,44.3,-3.38901302972109,-2.01659960041475,-0.461981629251522,delo,ruber
12,44.3,-3.2356628207148,-1.92830040101124,-0.576734915355734,mg,ruber
12,44.3,-3.9883403426208,-2.53843648550132,-1.08889160373147,tex,
12,44.3,-5.0987805507707,-3.19542615600569,-1.36612073904949,uk,
12.1,-61.2,-4.46703127887824,-3.04043827333139,-1.64066295068692,delo,ruber
12.1,-61.2,-7.66915154962523,-5.17205246340197,-3.24410966953021,uk,
12.7,-78.7,-4.77679362205176,-3.35585219067345,-1.88313021255517,delo,ruber
12.7,-78.7,-3.49727072954369,-2.06359700602411,-0.697752608929587,mg,ruber
12.7,119.5,-2.42629645302299,-1.05693399679723,0.431684049563568,delo,ruber
13.7,53.3,-5.25025489746496,-2.12551481803548,-0.388392583813538,uk,
13.8,110.3,-2.96553188667539,-1.49557731783029,-0.143029284347845,delo,sacculifer
14.3,57.3,-4.0428398055043,-2.66625874681967,-1.33606773220955,delo,ruber
14.3,57.3,-4.41076418094946,-2.95626361918739,-1.59311084585323,mg,ruber
14.3,57.3,-3.7870561275347,-2.3835659687567,-0.870974882920095,tex,
14.3,57.3,-4.95877066755978,-2.86389799014966,-1.08515156700956,uk,
14.4,50.5,-3.21546153165273,-1.90253322603727,-0.461354215635769,uk,
14.5,93.1,-4.21453520654485,-2.69291018662841,-1.23365503863706,delo,ruber
14.5,93.1,-2.03776767030869,-0.574604184395614,0.979070069169021,uk,
14.8,111.5,-4.72313131258045,-3.38904735492926,-1.88632824734552,mg,ruber
14.9,-71.8,-3.98643138543467,-2.62561462150484,-1.2119066891391,mg,sacculifer
15,54.4,-6.2648247789012,-3.22538984982277,-1.59562048456849,uk,
15.5,68.8,-4.6457704534372,-3.26722658412093,-1.90920694801125,delo,ruber
15.5,68.8,-8.56063209461577,-7.06284935054116,-5.65157361088507,mg,ruber
15.9,72.6,-5.70641011314924,-3.47606072211065,-1.77376304559236,uk,
16.1,112.9,-2.7896573459706,-1.34517741259769,0.0878397332812995,delo,ruber
16.1,112.9,-5.17489261722511,-3.83800983947523,-2.4663475661194,mg,ruber
16.2,59.8,-7.51955589265594,-3.9494532747629,-2.10583958930125,uk,
16.6,59.8,-6.07314242777538,-4.1833504695976,-2.3455936186925,uk,
